"Shape","Possible?","Freeplay?","Simple Floating?","Multilayer Scaffolding?","Drop Through?"
"Cu------:Cu----Cu:CuCu--Cu","true","true","false","false","false"
"Cu------:Cu----Cu:CuCuCuCu","true","true","false","false","false"
"Cu------:Cu--Cu--:Cu------","true","true","false","false","false"
"Cu------:Cu--Cu--:--Cu----","true","false","true","false","false"
"Cu------:Cu--Cu--:----Cu--","true","true","false","false","false"
"Cu------:Cu--Cu--:------Cu","true","false","true","false","false"
"Cu------:Cu--Cu--:CuCu----","true","true","false","false","false"
"Cu------:Cu--Cu--:--CuCu--","true","true","false","false","false"
"Cu------:Cu--Cu--:----CuCu","true","true","false","false","false"
"Cu------:Cu--Cu--:Cu----Cu","true","true","false","false","false"
"Cu------:Cu--Cu--:Cu--Cu--","true","true","false","false","false"
"Cu------:Cu--Cu--:--Cu--Cu","true","false","true","false","false"
"Cu------:Cu--Cu--:CuCuCu--","true","true","false","false","false"
"Cu------:Cu--Cu--:--CuCuCu","true","true","false","false","false"
"Cu------:Cu--Cu--:Cu--CuCu","true","true","false","false","false"
"Cu------:Cu--Cu--:CuCu--Cu","true","true","false","false","false"
"Cu------:Cu--Cu--:CuCuCuCu","true","true","false","false","false"
"Cu------:--Cu--Cu:Cu------","false","false","false","false","false"
"Cu------:--Cu--Cu:--Cu----","false","false","false","false","false"
"Cu------:--Cu--Cu:----Cu--","false","false","false","false","false"
"Cu------:--Cu--Cu:------Cu","false","false","false","false","false"
"Cu------:--Cu--Cu:CuCu----","true","false","false","false","true"
"Cu------:--Cu--Cu:--CuCu--","true","false","false","false","true"
"Cu------:--Cu--Cu:----CuCu","true","false","false","false","true"
"Cu------:--Cu--Cu:Cu----Cu","true","false","false","false","true"
"Cu------:--Cu--Cu:Cu--Cu--","false","false","false","false","false"
"Cu------:--Cu--Cu:--Cu--Cu","true","false","false","false","true"
"Cu------:--Cu--Cu:CuCuCu--","true","false","false","false","true"
"Cu------:--Cu--Cu:--CuCuCu","true","false","false","false","true"
"Cu------:--Cu--Cu:Cu--CuCu","true","false","false","false","true"
"Cu------:--Cu--Cu:CuCu--Cu","true","false","false","false","true"
"Cu------:--Cu--Cu:CuCuCuCu","true","false","false","false","true"
"Cu------:CuCuCu--:Cu------","true","true","false","false","false"
"Cu------:CuCuCu--:--Cu----","true","true","false","false","false"
"Cu------:CuCuCu--:----Cu--","true","true","false","false","false"
"Cu------:CuCuCu--:------Cu","true","false","true","false","false"
"Cu------:CuCuCu--:CuCu----","true","true","false","false","false"
"Cu------:CuCuCu--:--CuCu--","true","true","false","false","false"
"Cu------:CuCuCu--:----CuCu","true","true","false","false","false"
"Cu------:CuCuCu--:Cu----Cu","true","true","false","false","false"
"Cu------:CuCuCu--:Cu--Cu--","true","true","false","false","false"
"Cu------:CuCuCu--:--Cu--Cu","true","true","false","false","false"
